"Time","Position","Target","Error","Int. Error","Der. Error","Output","Clipped Output","Target Velocity","Required Acc","Clipped Acc","Actual Velocity"
"1.125","9.922163253","10","-0.077836747","-2.366209773","-1.033631569","2.850020157","2.850020157","-0.32112653","28.500201569","28.500201569","-0.94612653"
"1.15","9.89851009","10","-0.10148991","-2.368747021","-0.94612653","2.861755917","2.861755917","-0.230687551","28.617559174","28.617559174","-0.855687551"
"1.175","9.877117901","10","-0.122882099","-2.371819074","-0.855687551","2.86508284","2.86508284","-0.139416841","28.650828401","28.650828401","-0.764416841"
"1.2","9.85800748","10","-0.14199252","-2.375368887","-0.764416841","2.861364457","2.861364457","-0.049075726","28.613644566","28.613644566","-0.674075726"
"1.225","9.841155587","10","-0.158844413","-2.379339997","-0.674075726","2.851858244","2.851858244","0.038888835","28.518582444","28.518582444","-0.586111165"
"1.25","9.826502808","10","-0.173497192","-2.383677427","-0.586111165","2.837711333","2.837711333","0.123316668","28.377113329","28.377113329","-0.501683332"
"1.275","9.813960725","10","-0.186039275","-2.388328409","-0.501683332","2.819958885","2.819958885","0.203306389","28.19958885","28.19958885","-0.421693611"
"1.3","9.803418385","10","-0.196581615","-2.393242949","-0.421693611","2.799524733","2.799524733","0.278187572","27.995247333","27.995247333","-0.346812428"
"1.325","9.794748074","10","-0.205251926","-2.398374247","-0.346812428","2.777223876","2.777223876","0.347493541","27.772238755","27.772238755","-0.277506459"
"1.35","9.787810412","10","-0.212189588","-2.403678987","-0.277506459","2.753766473","2.753766473","0.41093516","27.537664735","27.537664735","-0.21406484"
"1.375","9.782458791","10","-0.217541209","-2.409117517","-0.21406484","2.729763028","2.729763028","0.468375917","27.297630278","27.297630278","-0.156624083"
"1.4","9.778543189","10","-0.221456811","-2.414653937","-0.156624083","2.70573044","2.70573044","0.519808527","27.057304404","27.057304404","-0.105191473"
"1.425","9.775913402","10","-0.224086598","-2.420256102","-0.105191473","2.682098706","2.682098706","0.565333203","26.820987058","26.820987058","-0.059666797"
"1.45","9.774421733","10","-0.225578267","-2.425895559","-0.059666797","2.659218007","2.659218007","0.605137705","26.592180074","26.592180074","-0.019862295"
"1.475","9.773925175","10","-0.226074825","-2.43154743","-0.019862295","2.637366025","2.637366025","0.639479211","26.373660247","26.373660247","0.014479211"
"1.5","9.774287155","10","-0.225712845","-2.437190251","0.014479211","2.616755286","2.616755286","0.668668033","26.167552864","26.167552864","0.043668033"
"1.525","9.775378856","10","-0.224621144","-2.442805779","0.043668033","2.597540432","2.597540432","0.693053141","25.975404317","25.975404317","0.068053141"
"1.55","9.777080185","10","-0.222919815","-2.448378775","0.068053141","2.579825267","2.579825267","0.713009457","25.798252669","25.798252669","0.088009457"
"1.575","9.779280421","10","-0.220719579","-2.453896764","0.088009457","2.563669527","2.563669527","0.728926839","25.636695275","25.636695275","0.103926839"
"1.6","9.781878592","10","-0.218121408","-2.459349799","0.103926839","2.549095275","2.549095275","0.741200658","25.490952754","25.490952754","0.116200658"
"1.625","9.784783609","10","-0.215216391","-2.464730209","0.116200658","2.536092881","2.536092881","0.750223878","25.360928806","25.360928806","0.125223878"
"1.65","9.787914206","10","-0.212085794","-2.470032354","0.125223878","2.524626552","2.524626552","0.756380516","25.246265515","25.246265515","0.131380516"
"1.675","9.791198719","10","-0.208801281","-2.475252386","0.131380516","2.514639392","2.514639392","0.760040364","25.146393919","25.146393919","0.135040364"
"1.7","9.794574728","10","-0.205425272","-2.480388018","0.135040364","2.506057976","2.506057976","0.761554858","25.060579765","25.060579765","0.136554858"
"1.725","9.797988599","10","-0.202011401","-2.485438303","0.136554858","2.498796444","2.498796444","0.761253969","24.987964442","24.987964442","0.136253969"
"1.75","9.801394948","10","-0.198605052","-2.490403429","0.136253969","2.49276012","2.49276012","0.759443999","24.927601198","24.927601198","0.134443999"
"1.775","9.804756048","10","-0.195243952","-2.495284528","0.134443999","2.487848678","2.487848678","0.756406169","24.878486779","24.878486779","0.131406169"
"1.8","9.808041203","10","-0.191958797","-2.500083498","0.131406169","2.483958873","2.483958873","0.752395887","24.839588726","24.839588726","0.127395887"
"1.825","9.8112261","10","-0.1887739","-2.504802845","0.127395887","2.480986856","2.480986856","0.747642601","24.809868564","24.809868564","0.122642601"
"1.85","9.814292165","10","-0.185707835","-2.509445541","0.122642601","2.478830118","2.478830118","0.742350131","24.788301181","24.788301181","0.117350131"
"1.875","9.817225918","10","-0.182774082","-2.514014893","0.117350131","2.477389069","2.477389069","0.736697398","24.773890693","24.773890693","0.111697398"
"1.9","9.820018353","10","-0.179981647","-2.518514435","0.111697398","2.47656831","2.47656831","0.730839475","24.765683103","24.765683103","0.105839475"
"1.925","9.82266434","10","-0.17733566","-2.522947826","0.105839475","2.476277609","2.476277609","0.724908878","24.762776085","24.762776085","0.099908878"
"1.95","9.825162062","10","-0.174837938","-2.527318774","0.099908878","2.47643262","2.47643262","0.719017033","24.7643262","24.7643262","0.094017033"
"1.975","9.827512488","10","-0.172487512","-2.531630962","0.094017033","2.476955384","2.476955384","0.713255879","24.769553843","24.769553843","0.088255879"
"2","9.829718885","10","-0.170281115","-2.53588799","0.088255879","2.477774623","2.477774623","0.707699535","24.777746234","24.777746234","0.082699535"
"2.025","9.831786373","10","-0.168213627","-2.540093331","0.082699535","2.478825872","2.478825872","0.702406002","24.788258718","24.788258718","0.077406002"
"2.05","9.833721523","10","-0.166278477","-2.544250293","0.077406002","2.480051464","2.480051464","0.697418868","24.800514636","24.800514636","0.072418868"
"2.075","9.835531995","10","-0.164468005","-2.548361993","0.072418868","2.481400402","2.481400402","0.692768969","24.814004024","24.814004024","0.067768969"
"2.1","9.837226219","10","-0.162773781","-2.552431337","0.067768969","2.482828135","2.482828135","0.688476003","24.828281349","24.828281349","0.063476003"
"2.125","9.838813119","10","-0.161186881","-2.556461009","0.063476003","2.484296249","2.484296249","0.684550065","24.842962487","24.842962487","0.059550065"
"2.15","9.840301871","10","-0.159698129","-2.560453463","0.059550065","2.485772113","2.485772113","0.680993093","24.857721129","24.857721129","0.055993093"
"2.175","9.841701698","10","-0.158298302","-2.56441092","0.055993093","2.487228477","2.487228477","0.677800212","24.872284772","24.872284772","0.052800212"
"2.2","9.843021703","10","-0.156978297","-2.568335378","0.052800212","2.488643044","2.488643044","0.674960973","24.886430437","24.886430437","0.049960973"
"2.225","9.844270728","10","-0.155729272","-2.572228609","0.049960973","2.489998024","2.489998024","0.672460479","24.899980235","24.899980235","0.047460479"
"2.25","9.84545724","10","-0.15454276","-2.576092179","0.047460479","2.491279689","2.491279689","0.670280401","24.912796887","24.912796887","0.045280401"
"2.275","9.84658925","10","-0.15341075","-2.579927447","0.045280401","2.492477928","2.492477928","0.668399883","24.92477928","24.92477928","0.043399883"
"2.3","9.847674247","10","-0.152325753","-2.583735591","0.043399883","2.493585814","2.493585814","0.666796337","24.935858144","24.935858144","0.041796337"
"2.325","9.848719155","10","-0.151280845","-2.587517612","0.041796337","2.494599189","2.494599189","0.665446134","24.945991885","24.945991885","0.040446134"
"2.35","9.849730308","10","-0.150269692","-2.591274355","0.040446134","2.495516264","2.495516264","0.6643252","24.955162643","24.955162643","0.0393252"
"2.375","9.850713438","10","-0.149286562","-2.595006519","0.0393252","2.496337259","2.496337259","0.663409515","24.963372593","24.963372593","0.038409515"
"2.4","9.851673676","10","-0.148326324","-2.598714677","0.038409515","2.497064052","2.497064052","0.662675528","24.970640517","24.970640517","0.037675528"
"2.425","9.852615565","10","-0.147384435","-2.602399288","0.037675528","2.497699867","2.497699867","0.662100495","24.976998668","24.976998668","0.037100495"
"2.45","9.853543077","10","-0.146456923","-2.606060711","0.037100495","2.498248991","2.498248991","0.661662743","24.982489915","24.982489915","0.036662743"
"2.475","9.854459645","10","-0.145540355","-2.609699219","0.036662743","2.498716519","2.498716519","0.661341872","24.987165194","24.987165194","0.036341872"
"2.5","9.855368192","10","-0.144631808","-2.613315015","0.036341872","2.499108124","2.499108124","0.661118903","24.991081242","24.991081242","0.036118903"
"2.525","9.856271165","10","-0.143728835","-2.616908236","0.036118903","2.499429861","2.499429861","0.660976369","24.994298614","24.994298614","0.035976369"
"2.55","9.857170574","10","-0.142829426","-2.620478971","0.035976369","2.499687997","2.499687997","0.660898368","24.996879965","24.996879965","0.035898368"
"2.575","9.858068033","10","-0.141931967","-2.62402727","0.035898368","2.499888859","2.499888859","0.660870583","24.998888589","24.998888589","0.035870583"
"2.6","9.858964798","10","-0.141035202","-2.62755315","0.035870583","2.500038719","2.500038719","0.660880262","25.000387189","25.000387189","0.035880262"
"2.625","9.859861804","10","-0.140138196","-2.631056605","0.035880262","2.500143687","2.500143687","0.660916184","25.001436873","25.001436873","0.035916184"
"2.65","9.860759709","10","-0.139240291","-2.634537613","0.035916184","2.500209634","2.500209634","0.660968593","25.002096341","25.002096341","0.035968593"
"2.675","9.861658924","10","-0.138341076","-2.637996139","0.035968593","2.500242125","2.500242125","0.661029124","25.002421252","25.002421252","0.036029124"
"2.7","9.862559652","10","-0.137440348","-2.641432148","0.036029124","2.500246376","2.500246376","0.661090718","25.002463759","25.002463759","0.036090718"
"2.725","9.86346192","10","-0.13653808","-2.6448456","0.036090718","2.500227218","2.500227218","0.661147522","25.002272179","25.002272179","0.036147522"
"2.75","9.864365608","10","-0.135634392","-2.64823646","0.036147522","2.500189078","2.500189078","0.661194792","25.001890784","25.001890784","0.036194792"
"2.775","9.865270478","10","-0.134729522","-2.651604698","0.036194792","2.500135971","2.500135971","0.661228785","25.001359707","25.001359707","0.036228785"
"2.8","9.866176197","10","-0.133823803","-2.654950293","0.036228785","2.500071493","2.500071493","0.661246658","25.00071493","25.00071493","0.036246658"
"2.825","9.867082364","10","-0.132917636","-2.658273234","0.036246658","2.499998835","2.499998835","0.661246367","24.999988351","24.999988351","0.036246367"
"2.85","9.867988523","10","-0.132011477","-2.661573521","0.036246367","2.499920791","2.499920791","0.661226565","24.99920791","24.99920791","0.036226565"
"2.875","9.868894187","10","-0.131105813","-2.664851166","0.036226565","2.499839777","2.499839777","0.661186509","24.998397765","24.998397765","0.036186509"
"2.9","9.86979885","10","-0.13020115","-2.668106195","0.036186509","2.49975785","2.49975785","0.661125971","24.997578505","24.997578505","0.036125971"
"2.925","9.870701999","10","-0.129298001","-2.671338645","0.036125971","2.499676739","2.499676739","0.661045156","24.996767388","24.996767388","0.036045156"
"2.95","9.871603128","10","-0.128396872","-2.674548567","0.036045156","2.49959786","2.49959786","0.660944621","24.995978603","24.995978603","0.035944621"
"2.975","9.872501744","10","-0.127498256","-2.677736023","0.035944621","2.499522353","2.499522353","0.660825209","24.995223533","24.995223533","0.035825209"
"3","9.873397374","10","-0.126602626","-2.680901089","0.035825209","2.499451103","2.499451103","0.660687985","24.994511033","24.994511033","0.035687985"
"3.025","9.874289573","10","-0.125710427","-2.68404385","0.035687985","2.49938477","2.49938477","0.660534178","24.993847698","24.993847698","0.035534178"
"3.05","9.875177928","10","-0.124822072","-2.687164401","0.035534178","2.499323813","2.499323813","0.660365131","24.993238132","24.993238132","0.035365131"
"3.075","9.876062056","10","-0.123937944","-2.69026285","0.035365131","2.49926852","2.49926852","0.660182261","24.9926852","24.9926852","0.035182261"
"3.1","9.876941613","10","-0.123058387","-2.69333931","0.035182261","2.499219027","2.499219027","0.659987018","24.992190272","24.992190272","0.034987018"
"3.125","9.877816288","10","-0.122183712","-2.696393902","0.034987018","2.499175345","2.499175345","0.659780854","24.991753453","24.991753453","0.034780854"
"3.15","9.878685809","10","-0.121314191","-2.699426757","0.034780854","2.49913738","2.49913738","0.659565199","24.991373796","24.991373796","0.034565199"
"3.175","9.879549939","10","-0.120450061","-2.702438009","0.034565199","2.499104949","2.499104949","0.659341436","24.991049495","24.991049495","0.034341436"
"3.2","9.880408475","10","-0.119591525","-2.705427797","0.034341436","2.499077806","2.499077806","0.659110888","24.990778061","24.990778061","0.034110888"
"3.225","9.881261248","10","-0.118738752","-2.708396266","0.034110888","2.499055648","2.499055648","0.6588748","24.990556485","24.990556485","0.0338748"
"3.25","9.882108118","10","-0.117891882","-2.711343563","0.0338748","2.499038138","2.499038138","0.658634334","24.990381377","24.990381377","0.033634334"
"3.275","9.882948976","10","-0.117051024","-2.714269838","0.033634334","2.499024909","2.499024909","0.658390562","24.99024909","24.99024909","0.033390562"
"3.3","9.88378374","10","-0.11621626","-2.717175245","0.033390562","2.499015583","2.499015583","0.658144457","24.99015583","24.99015583","0.033144457"
"3.325","9.884612351","10","-0.115387649","-2.720059936","0.033144457","2.499009775","2.499009775","0.657896901","24.990097746","24.990097746","0.032896901"
"3.35","9.885434774","10","-0.114565226","-2.722924067","0.032896901","2.499007101","2.499007101","0.657648676","24.99007101","24.99007101","0.032648676"
"3.375","9.886250991","10","-0.113749009","-2.725767792","0.032648676","2.499007188","2.499007188","0.657400473","24.990071878","24.990071878","0.032400473"
"3.4","9.887061003","10","-0.112938997","-2.728591267","0.032400473","2.499009674","2.499009674","0.657152892","24.990096744","24.990096744","0.032152892"
"3.425","9.887864825","10","-0.112135175","-2.731394646","0.032152892","2.499014218","2.499014218","0.656906446","24.99014218","24.99014218","0.031906446"
"3.45","9.888662486","10","-0.111337514","-2.734178084","0.031906446","2.499020497","2.499020497","0.656661571","24.990204966","24.990204966","0.031661571"
"3.475","9.889454025","10","-0.110545975","-2.736941733","0.03166157","2.499028211","2.499028211","0.656418623","24.990282114","24.990282114","0.031418623"
"3.5","9.890239491","10","-0.109760509","-2.739685746","0.031418623","2.499037088","2.499037088","0.656177895","24.990370879","24.990370879","0.031177895"
"3.525","9.891018938","10","-0.108981062","-2.742410273","0.031177895","2.499046877","2.499046877","0.655939614","24.990468766","24.990468766","0.030939614"
"3.55","9.891792429","10","-0.108207571","-2.745115462","0.030939614","2.499057354","2.499057354","0.655703953","24.990573535","24.990573535","0.030703953"
"3.575","9.892560027","10","-0.107439973","-2.747801461","0.030703953","2.49906832","2.49906832","0.655471033","24.990683196","24.990683196","0.030471033"
"3.6","9.893321803","10","-0.106678197","-2.750468416","0.030471033","2.4990796","2.4990796","0.655240933","24.990796002","24.990796002","0.030240933"
"3.625","9.894077827","10","-0.105922173","-2.753116471","0.030240933","2.499091044","2.499091044","0.655013694","24.990910437","24.990910437","0.030013694"
"3.65","9.894828169","10","-0.105171831","-2.755745766","0.030013694","2.499102521","2.499102521","0.654789324","24.991025206","24.991025206","0.029789324"
"3.675","9.895572902","10","-0.104427098","-2.758356444","0.029789324","2.499113922","2.499113922","0.654567804","24.991139222","24.991139222","0.029567804"
"3.7","9.896312097","10","-0.103687903","-2.760948641","0.029567804","2.499125159","2.499125159","0.654349094","24.991251585","24.991251585","0.029349094"
"3.725","9.897045825","10","-0.102954175","-2.763522496","0.029349094","2.499136157","2.499136157","0.654133133","24.991361572","24.991361572","0.029133133"
"3.75","9.897774153","10","-0.102225847","-2.766078142","0.029133133","2.499146862","2.499146862","0.653919849","24.991468617","24.991468617","0.028919849"
"3.775","9.898497149","10","-0.101502851","-2.768615713","0.028919849","2.499157229","2.499157229","0.653709156","24.991572292","24.991572292","0.028709156"
